,Title,location,Area,Price,Description
0,['Leads Presenting Luxurious Galleria Design Fully Furnished Bungalow On Prime Location'],"DHA Phase 6, DHA Defence",2 Kanal,18.5 Crore,"LEADS ESTATES ® | The Real Estate Leaders | Top Real Estate Company in DHA Lahore Pakistan. 
Always... more"
1,['One Kanal Brand New Italian Faisal Rasool Design Bungalow For Sale'],"DHA Phase 6, DHA Defence",1 Kanal,5.4 Crore,DHA Lahore One Kanal Brand New Italian Faisal Rasool Design Bungalow Near to Main Road and DHA... more
2,['10 Marla Luxury Solid Constructed House At Most Prime Location In DHA Phase 8 At Cheap Price'],"DHA Phase 8, DHA Defence",10 Marla,2.8 Crore,Leads Estates Offers ®? 10 Marla Luxury Solid Constructed House At Most Prime Location In DHA Phase... more
3,['Most Unique Design Brand New Bungalow'],"DHA Phase 6, DHA Defence",1 Kanal,4.25 Crore,"Harum Estate offer Beautiful house Fasad Elegant Modern Design Villa. 
located in finest location... more"
4,['Leads Lavish Design Triple Unit Bungalow For Sale'],"DHA Phase 6, DHA Defence",1 Kanal,4.75 Crore,"Bedrooms with attached bathrooms
• Drawing room
• Dining room
• TV Lounge
• Kitchen

About Phase 6,... more"
5,['10 Marla New Double Storey House For Sale In Fazaia Housing Scheme Phase 1 Block B Lahore'],"Fazaia Housing Scheme Phase 1 - Block B, Fazaia Housing Scheme Phase 1",10 Marla,1.6 Crore,"A Well-Build 10 Marla New Double Storey House For Sale In Fazaia Housing Scheme Phase 1, Block B,... more"
6,['Ultra Modern VIP 1 Kanal Brand New Luxury House For Sale'],"DHA Phase 6, DHA Defence",1 Kanal,4.15 Crore,LAHORE GRANDE Estate offer state of the Art Elegant Modern Design Villa designed by Renowned... more
7,['Most Lavish Brand New Antique Palace'],"DHA Phase 6, DHA Defence",1 Kanal,4.15 Crore,"Harum Estate offer Beautiful house Fasad Elegant Modern Design Villa. 
located in finest location... more"
8,['Brand New Bungalow For Sale In Dha Phase 6'],"DHA Phase 6, DHA Defence",1 Kanal,3.98 Crore,"About The Property:
• 05 Master Size Bed Rooms With Attached Bath
• All Baths Are Equipped With... more"
9,['10 Marla House For Sale In G Block Of Central Park Lahore'],"Central Park - Block G, Central Park Housing Scheme",10 Marla,1.75 Crore,"Properties in this Central Park Housing Scheme - Block G, are pretty decent. 

So, go ahead and... more"
10,['Corner 10 Marla Only 3 Years Used Owner Build Solid Bungalow For Sale Prime Location'],"DHA Phase 5, DHA Defence",10 Marla,3 Crore,"Corner 10 Marla Only 3 Years used owner build Solid Bungalow For Sale Prime Location

100 %... more"
11,['1 Kanal Beautiful House For Sale Near Park Mesjid   In Dha Phase 4 Dha Lahore Cantt'],"DHA Phase 4, DHA Defence",1 Kanal,4.25 Crore,"provide Best Services
in Sale Or Purchase Of Houses. 
Looking For A House? Well, Don't Search Any... more"
12,['105 Marla Corner Brand New Mazhar Munir Design Bungalow near to Sports Complex DHA Phase 5'],"DHA Phase 6, DHA Defence",10 Marla,3.5 Crore,"10.5 Marla Corner Brand New Mazhar Munir Design Bungalow near to Sports Complex DHA Phase 5. 
... more"
13,['2 Kanal Brand New Faisal Rasool Design Fully Furnished House For Sale'],"DHA Phase 3, DHA Defence",2 Kanal,19.25 Crore,"2-Kanal Brand New Faisal Rasool Design, Fully Furnished Home Theater Bungalow near to Main... more"
14,['10 Marla Brand New Faisal Rasool Design Fully Basement Bungalow with Roof Top Garden near to Sports Complex DHA Phase 5'],"DHA Phase 5, DHA Defence",10 Marla,4.2 Crore,10 Marla Brand New Faisal Rasool Design Fully Basement Bungalow with Roof Top Garden near to Sports... more
15,['2 Kanal Fully Furnish Faisal Rasoll Design Bungalow Near Next to Gillani Bungalow'],"DHA Phase 3, DHA Defence",2 Kanal,20 Crore,"2 Kanal Fully Furnish Faisal Rasoll Design Bungalow Near Next to Gillani Bungalow. 
Feature for... more"
16,['1 Kanal Galleria Design Near To Main Boulevard Dha Phase 5'],"DHA Phase 5 - Block J, DHA Phase 5",1 Kanal,7.45 Crore,"1-Kanal Galleria Design near to Main Boulevard DHA Phase 5. 

Features of this bungalow are as... more"
17,['Brand New 01 Kanal Lush House For Sale In Dha Phase 6 Location DHA Phase 6 DHA Defence Lahore'],"DHA Phase 6, DHA Defence",1 Kanal,4.68 Crore,"Yousaf Bhais Real Estate &amp; Builders ®
• 5 Master Bedrooms 
• 6 Washroom 
• Victorian Design. 
•... more"
18,['10 Marla Brand New Mazhar Munir Design Bungalow Near To Sports Complex DHA Phase 5'],"DHA Phase 5, DHA Defence",10 Marla,4.05 Crore,"10 Marla Brand New Mazhar Munir Design Bungalow near to Sports Complex DHA Phase 5. 

Features of... more"
19,['2 Kanal Brand New Faisal Rasool Design Fully Furnished Home Theater Bungalow Near To Main Boulevard Dha Phase 3 Near To Packages Mall'],"DHA Phase 2, DHA Defence",2 Kanal,19 Crore,"2-Kanal Brand New Faisal Rasool Design, Fully Furnished Home Theater Bungalow near to Main... more"
20,['2 Kanal Brand New Designer Fully Furnished Home Theater Swimming Pool Bungalow Near To Main Boulevard DHA Phase 3'],"DHA Phase 1, DHA Defence",2 Kanal,12 Crore,"2-Kanal Brand New Designer, Fully Furnished, Home Theater, Swimming Pool, Bungalow near to Main... more"
21,['12 Marla Brand New Mazhar Munir Design Bungalow near to Park Mosque Sports Complex DHA Phase 6'],"DHA Phase 6, DHA Defence",12 Marla,3.3 Crore,"12 Marla Brand New Mazhar Munir Design Bungalow near to Park, Mosque, Sports Complex DHA Phase 6. 
... more"
22,['The Most Beautiful Design Brand New Spanish Bungalow For Sale At Prime Location In Low Price'],"DHA Phase 6, DHA Defence",1 Kanal,4.9 Crore,"Supper Deal 1 Kanal Brand New Spanish Bungalow For Sale In DHA Phase 6 Lahore

Bungalow Details:... more"
23,['Most Beautiful And Unique Design 1 Kanal Brand New Bungalow For Sale In Low Price'],"DHA Phase 6, DHA Defence",1 Kanal,4.25 Crore,"Future Planner Offers , , , , 
Ideal Location 1 Kanal Brand New Bungalow For Sale In DHA Phase 6... more"
24,['House Is Available For Sale At Prime Location In Dha Phase 6'],"DHA Phase 6, DHA Defence",1 Kanal,6.9 Crore,"Near Park 1 Kanal Brand New Bungalow For Sale In DHA Phase 6 Lahore

Bungalow Details:
&gt; 5... more"
